familyID,indivID,patID,matID,Sex,pheno
29,29cF,0,0,2,0
43,43aF,0,0,2,0
2,2fF,0,0,2,0
1,1dF,0,0,2,0
28,28cF,0,0,2,0
42,42dF,0,0,2,0
56,56aF,0,0,2,0
15,15aF,0,0,2,0
13,13bF,0,0,2,0
41,41cF,0,0,2,0
55,55cF,0,0,2,0
69,69aF,0,0,2,0
30,30bF,0,0,2,0
27,27cF,0,0,2,0
54,54aF,0,0,2,0
44,44fF,0,0,2,0
68,68cF,0,0,2,0
81,81cF,0,0,2,0
40,40aF,0,0,2,0
66,66aF,0,0,2,0
80,80bF,0,0,2,0
5,5dF,0,0,2,0
53,53cF,0,0,2,0
79,79aF,0,0,2,0
4,4cF,0,0,2,0
17,17aF,0,0,2,0
65,65dF,0,0,2,0
3,3bF,0,0,2,0
16,16aF,0,0,2,0
31,31dF,0,0,2,0
78,78aF,0,0,2,0
57,57cF,0,0,2,0
7,7cF,0,0,2,0
34,34fF,0,0,2,0
61,61fF,0,0,2,0
70,70fF,0,0,2,0
19,19eF,0,0,2,0
48,48cF,0,0,2,0
74,74eF,0,0,2,0
6,6aF,0,0,2,0
33,33fF,0,0,2,0
60,60cF,0,0,2,0
10,10bF,0,0,2,0
18,18aF,0,0,2,0
47,47fF,0,0,2,0
73,73dF,0,0,2,0
23,23fF,0,0,2,0
71,71aF,0,0,2,0
32,32fF,0,0,2,0
59,59aF,0,0,2,0
36,36dF,0,0,2,0
20,20bF,0,0,2,0
46,46aF,0,0,2,0
72,72dF,0,0,2,0
22,22eF,0,0,2,0
50,50aF,0,0,2,0
49,49bF,0,0,2,0
58,58bF,0,0,2,0
8,8aF,0,0,2,0
75,75dF,0,0,2,0
35,35bF,0,0,2,0
62,62dF,0,0,2,0
41,41eM,0,0,1,0
12,12cF,0,0,2,0
27,27eM,0,0,1,0
40,40bM,0,0,1,0
25,25aF,0,0,2,0
39,39fM,0,0,1,0
52,52eM,0,0,1,0
39,39dF,0,0,2,0
51,51dM,0,0,1,0
65,65cM,0,0,1,0
52,52cF,0,0,2,0
63,63aM,0,0,1,0
78,78eM,0,0,1,0
64,64aF,0,0,2,0
77,77bM,0,0,1,0
3,3dM,0,0,1,0
77,77fF,0,0,2,0
2,2bM,0,0,1,0
16,16bM,0,0,1,0
1,1fM,0,0,1,0
15,15dM,0,0,1,0
29,29eM,0,0,1,0
11,11bF,0,0,2,0
24,24aF,0,0,2,0
38,38dF,0,0,2,0
51,51fF,0,0,2,0
63,63fF,0,0,2,0
76,76dF,0,0,2,0
14,14eM,0,0,1,0
28,28dM,0,0,1,0
54,54bM,0,0,1,0
68,68eM,0,0,1,0
7,7bM,0,0,1,0
53,53bM,0,0,1,0
67,67fM,0,0,1,0
81,81dM,0,0,1,0
20,20aM,0,0,1,0
66,66dM,0,0,1,0
80,80aM,0,0,1,0
6,6dM,0,0,1,0
33,33aM,0,0,1,0
79,79bM,0,0,1,0
5,5aM,0,0,1,0
19,19aM,0,0,1,0
45,45dM,0,0,1,0
4,4aM,0,0,1,0
18,18cM,0,0,1,0
32,32aM,0,0,1,0
57,57aM,0,0,1,0
17,17bM,0,0,1,0
31,31eM,0,0,1,0
44,44bM,0,0,1,0
70,70bM,0,0,1,0
30,30fM,0,0,1,0
43,43bM,0,0,1,0
56,56eM,0,0,1,0
9,9bM,0,0,1,0
42,42cM,0,0,1,0
55,55dM,0,0,1,0
69,69dM,0,0,1,0
34,34cM,0,0,1,0
59,59cM,0,0,1,0
12,12fM,0,0,1,0
38,38bM,0,0,1,0
46,46eM,0,0,1,0
73,73aM,0,0,1,0
25,25dM,0,0,1,0
50,50bM,0,0,1,0
58,58fM,0,0,1,0
11,11aM,0,0,1,0
37,37fM,0,0,1,0
62,62bM,0,0,1,0
9,9cF,0,0,2,0
71,71eM,0,0,1,0
49,49fM,0,0,1,0
76,76bM,0,0,1,0
10,10aM,0,0,1,0
36,36cM,0,0,1,0
61,61cM,0,0,1,0
23,23aM,0,0,1,0
48,48aM,0,0,1,0
75,75fM,0,0,1,0
35,35aM,0,0,1,0
60,60fM,0,0,1,0
13,13aM,0,0,1,0
22,22dM,0,0,1,0
47,47dM,0,0,1,0
74,74bM,0,0,1,0
26,26fM,0,0,1,0
