sample	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	n_bootstraps	n_targets	kallisto_version
NS.1574.001.NEBNext_dual_i7_221---NEBNext_dual_i5_269.39dFLR	23414246	18029475	17031525	77.0	72.7	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_222---NEBNext_dual_i5_270.40aFLR	38984947	30245870	28531797	77.6	73.2	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_223---NEBNext_dual_i5_271.41cFLR	23437737	18293462	17391383	78.1	74.2	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_224---NEBNext_dual_i5_272.42dFLR	30700908	23371980	22223411	76.1	72.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_225---NEBNext_dual_i5_273.43aFLR	22120081	17179685	16270628	77.7	73.6	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_228---NEBNext_dual_i5_276.46aFLR	21179572	16116372	15212573	76.1	71.8	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_229---NEBNext_dual_i5_277.47fFLR	26757888	19919209	18995711	74.4	71.0	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_230---NEBNext_dual_i5_278.48cFLR	24020971	18655207	17672885	77.7	73.6	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_231---NEBNext_dual_i5_279.49bFLR	25110204	19468334	18506590	77.5	73.7	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_232---NEBNext_dual_i5_280.50aFLR	20252697	15690310	14886790	77.5	73.5	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_233---NEBNext_dual_i5_281.51fFLR	24709224	19108306	18123972	77.3	73.3	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_235---NEBNext_dual_i5_283.53cFLR	24590164	18996680	18038469	77.3	73.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_236---NEBNext_dual_i5_284.54aFLR	22070920	16702706	15871295	75.7	71.9	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_237---NEBNext_dual_i5_285.55cFLR	21520506	16632529	15815568	77.3	73.5	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_238---NEBNext_dual_i5_286.56aFLR	19082140	14622660	13823402	76.6	72.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_239---NEBNext_dual_i5_287.57cFLR	25707837	19692854	18767512	76.6	73.0	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_240---NEBNext_dual_i5_288.58bFLR	21853794	16750717	15869948	76.6	72.6	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_241---NEBNext_dual_i5_289.59aFLR	27249071	20721272	19648385	76.0	72.1	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_242---NEBNext_dual_i5_290.60cFLR	34953616	27039159	25621065	77.4	73.3	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_243---NEBNext_dual_i5_291.61fFLR	30145219	23337281	22123224	77.4	73.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_244---NEBNext_dual_i5_292.62dFLR	21552687	16488406	15632972	76.5	72.5	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_245---NEBNext_dual_i5_197.63fFLR	23486608	17733967	16771605	75.5	71.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_246---NEBNext_dual_i5_198.64aFLR	26336128	20157309	19099721	76.5	72.5	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_247---NEBNext_dual_i5_199.65dFLR	25427194	19624408	18649176	77.2	73.3	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_248---NEBNext_dual_i5_200.66aFLR	25823184	19667976	18654440	76.2	72.2	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_249---NEBNext_dual_i5_201.67eFLR	23625471	17870003	17016566	75.6	72.0	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_250---NEBNext_dual_i5_202.68cFLR	38995391	30437298	28770772	78.1	73.8	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_251---NEBNext_dual_i5_203.69aFLR	22340663	17367829	16445491	77.7	73.6	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_252---NEBNext_dual_i5_204.70fFLR	22136670	16426169	15586338	74.2	70.4	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_253---NEBNext_dual_i5_205.71aFLR	25277467	19486477	18483989	77.1	73.1	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_254---NEBNext_dual_i5_206.72dFLR	24064655	18695695	17594042	77.7	73.1	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_255---NEBNext_dual_i5_207.73dFLR	20270778	15568203	14754241	76.8	72.8	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_256---NEBNext_dual_i5_208.74eFLR	22579935	17498607	16512419	77.5	73.1	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_257---NEBNext_dual_i5_209.75dFLR	27424320	21304604	20111135	77.7	73.3	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_258---NEBNext_dual_i5_210.76dFLR	22422304	17287289	16365947	77.1	73.0	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_259---NEBNext_dual_i5_211.77fFLR	13013854	9973783	9477747	76.6	72.8	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_260---NEBNext_dual_i5_212.78aFLR	22098803	16944140	16014937	76.7	72.5	100	37659	0.48.0
NS.1574.001.NEBNext_dual_i7_261---NEBNext_dual_i5_213.79aFLR	20942525	16113087	15257697	76.9	72.9	100	37659	0.48.0
