Geneid	Chr	Start	End	Strand	Length	10.TM4Aligned.sortedByCoord.out	11.TM5Aligned.sortedByCoord.out	12.TM6Aligned.sortedByCoord.out	1.TF1Aligned.sortedByCoord.out	2.TF2Aligned.sortedByCoord.out	3.TF3Aligned.sortedByCoord.out	4.TF4Aligned.sortedByCoord.out	5.TF5Aligned.sortedByCoord.out	6.TF6Aligned.sortedByCoord.out	7.TM1Aligned.sortedByCoord.out	8.TM2Aligned.sortedByCoord.out	9.TM3Aligned.sortedByCoord.out
TX_00006269	A1	258655	262879	-	4225	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008220	A1	324258	330337	+	6080	1371	1384	1882	1423	1727	1186	1427	1238	1293	3109	3469	1427
TX_00008219	A1	332929	340030	-	7102	1050	1197	1397	1056	987	1021	763	638	1252	786	1638	763
TX_00008218	A1	340923	343244	-	2322	684	705	961	599	633	670	529	412	769	617	1470	889
TX_00008217	A1	365183	371471	-	6289	496	535	685	530	707	523	475	384	843	1037	1018	722
TX_00008216	A1	377367	383558	+	6192	248	326	480	266	305	262	165	155	421	306	632	552
TX_00008215	A1	432390	434947	-	2558	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008214	A1	477426	479417	+	1992	180	282	254	234	305	162	159	103	311	435	390	205
TX_00008213	A1	479380	480784	-	1405	1	0	209	7	1	1	1	1	2	0	11	5
TX_00008212	A1	485803	504899	+	19097	1887	2159	3440	1938	1895	1873	1752	1261	2365	1993	4653	2887
TX_00008211	A1	586246	589704	-	3459	202	151	203	124	178	198	161	60	318	361	387	276
TX_00008210	A1	591205	594580	-	3376	706	808	1216	714	1137	816	560	229	1074	1893	1008	653
TX_00008209	A1	600626	603720	+	3095	0	3	54	3	0	0	2	0	0	0	18	0
TX_00008208	A1	618380	622263	+	3884	1188	1347	1808	1315	1611	1266	832	600	1507	1522	2110	1469
TX_00008207	A1	625970	627904	+	1935	8	8	43	5	2	5	0	2	33	0	66	5
TX_00008206	A1	628994	630776	-	1783	6	6	19	3	3	12	7	2	2	27	15	1
TX_00008205	A1	632849	635278	-	2430	3	4	7	9	2	14	2	2	1	2	2	6
TX_00008202	A1	649739	651552	+	1814	0	0	0	0	0	0	0	0	0	0	0	1
TX_00008201	A1	652835	665023	-	12189	609	429	991	361	830	598	452	271	1175	496	1201	837
TX_00008200	A1	718538	720141	+	1604	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008199	A1	729907	732527	+	2621	185	205	314	242	196	280	201	130	269	173	373	297
TX_00008198	A1	742346	749649	-	7304	718	932	712	635	759	576	847	652	617	1170	1583	933
TX_00008197	A1	751199	757905	-	6707	402	718	688	385	250	401	142	123	454	869	1274	690
TX_00008195	A1	760117	761197	-	1081	0	0	0	0	0	0	4	1	0	0	0	0
TX_00008194	A1	763639	764264	+	626	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008193	A1	767715	773220	-	5506	390	478	483	362	484	336	474	408	407	804	846	436
TX_00008192	A1	775951	779891	-	3941	425	734	602	396	564	567	662	463	420	878	1295	489
TX_00008191	A1	781062	783815	-	2754	466	594	578	451	676	468	491	309	576	692	928	560
TX_00008190	A1	795771	800134	+	4364	549	929	877	720	803	534	640	600	653	1004	1306	644
TX_00008189	A1	801847	803489	+	1643	96	100	99	85	107	61	85	63	72	64	181	99
TX_00008188	A1	804368	805928	-	1561	0	0	0	0	0	0	0	0	0	0	1	1
TX_00008187	A1	832847	836618	-	3772	319	347	444	268	288	255	202	106	314	380	540	361
TX_00008186	A1	842207	848948	+	6742	2	0	4	0	1	3	1	0	0	5	4	4
TX_00008185	A1	848247	852926	-	4680	117	181	134	154	517	129	227	145	198	391	572	112
TX_00008184	A1	854497	858044	+	3548	3097	3080	3735	2971	3457	2337	2012	1743	4992	3689	3821	2576
TX_00008183	A1	859687	861300	+	1614	10	20	41	8	32	16	2	4	23	76	12	21
TX_00008182	A1	865676	868554	+	2879	129	72	166	83	83	267	133	81	216	26	588	147
TX_00008181	A1	876555	879334	+	2780	80	11	145	22	13	118	5	22	114	4	227	53
TX_00008180	A1	914149	916998	+	2850	88	130	180	110	141	121	104	75	109	119	293	155
TX_00008179	A1	917515	920258	-	2744	0	0	0	3	2	1	1	2	2	4	3	3
TX_00008178	A1	920870	949730	-	28861	764	928	1115	830	1607	881	550	576	1145	2090	2401	1280
TX_00008177	A1	958794	963349	+	4556	301	380	338	193	278	202	391	145	322	373	455	288
TX_00008176	A1	964764	976589	+	11826	555	599	760	484	712	547	438	311	788	718	1185	776
TX_00008175	A1	1001728	1002971	-	1244	1523	1303	1416	684	2088	766	1209	380	1302	2057	1715	1341
TX_00008174	A1	1023778	1028339	-	4562	1618	1303	1773	1394	1737	1250	585	566	2248	1540	2190	1750
TX_00008173	A1	1031308	1034558	+	3251	36	21	34	21	20	32	23	21	44	33	73	52
TX_00008172	A1	1049509	1052240	+	2732	393	609	449	389	773	550	768	418	495	1006	894	420
TX_00008171	A1	1053166	1055806	+	2641	45	68	63	24	43	44	61	42	31	64	81	38
TX_00008170	A1	1077958	1079618	+	1661	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008169	A1	1082967	1088865	+	5899	21725	20836	28546	16084	16074	21808	14226	5580	20355	7532	40600	25303
TX_00008168	A1	1092059	1095426	-	3368	1320	761	1105	577	1549	378	1339	800	940	898	1919	484
TX_00008167	A1	1098903	1102048	+	3146	244	356	354	214	311	280	265	146	235	306	586	302
