pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,flag_tx_mat,flag_tx_pat,TM4.mat,TM5.mat,TM6.mat,TF1.mat,TF2.mat,TF3.mat,TF4.mat,TF5.mat,TF6.mat,TM1.mat,TM2.mat,TM3.mat,total.mat,femTotal.mat,maleTotal.mat,femMean.mat,maleMean.mat,TM4.pat,TM5.pat,TM6.pat,TF1.pat,TF2.pat,TF3.pat,TF4.pat,TF5.pat,TF6.pat,TM1.pat,TM2.pat,TM3.pat,total.pat,femTotal.pat,maleTotal.pat,femMean.pat,maleMean.pat
TX_maternal_00016320_TX_paternal_00022031,TX_maternal_00016320,TX_paternal_00022031,X,Y,5723350,198806518,5725087,198813434,PASS,PASS,84,50,93,58,135,111,92,49,128,39,133,74,869,573,473,95.5,78.83333333333333,52,36,71,0,0,0,1,0,0,22,81,43,475,1,305,0.16666666666666666,50.833333333333336
TX_maternal_00017170_TX_paternal_00023036,TX_maternal_00017170,TX_paternal_00023036,X,Y,60701789,354795632,60703710,354797632,PASS,PASS,144,111,257,193,335,284,180,167,504,152,359,315,39474,1663,1338,277.1666666666667,223,119,115,138,1,0,0,0,0,0,99,219,239,21659,1,929,0.16666666666666669,154.83333333333334
TX_maternal_00016456_TX_paternal_00022071,TX_maternal_00016456,TX_paternal_00022071,X,Y,19644763,202648680,19651505,202653431,PASS,PASS,232,209,262,385,591,445,446,264,619,269,467,279,12264,2750,1718,458.3333333333333,286.3333333333333,201,165,275,4,1,3,0,6,0,136,378,246,10281,14,1401,2.3333333333333335,233.5
TX_maternal_00016477_TX_paternal_00022053,TX_maternal_00016477,TX_paternal_00022053,X,Y,21301902,200895173,21307203,200900476,PASS,PASS,76,85,88,133,176,128,150,106,193,97,149,90,1245,886,585,147.66666666666666,97.5,41,55,69,4,0,12,8,5,1,70,137,67,1458,30,439,5,73.16666666666667
TX_maternal_00016480_TX_paternal_00022050,TX_maternal_00016480,TX_paternal_00022050,X,Y,21571894,200538910,21580920,200543275,PASS,PASS,501,535,532,738,1480,976,988,560,1763,401,860,629,72885,6505,3458,1084.1666666666667,576.3333333333334,54,65,141,15,0,12,6,27,1,78,139,93,2940,61,570,10.166666666666668,95
TX_maternal_00016557_TX_paternal_00022878,TX_maternal_00016557,TX_paternal_00022878,X,Y,26823067,330313472,26826135,330328430,PASS,PASS,92,0,329,15,3,21,2,7,35,0,148,24,4002,83,593,13.833333333333332,98.83333333333334,22,1,77,2,0,1,0,0,12,0,0,16,133,15,116,2.5,19.333333333333336
TX_maternal_00016565_TX_paternal_00022897,TX_maternal_00016565,TX_paternal_00022897,X,Y,26966880,330862023,26969728,330864790,PASS,PASS,5,3,32,50,27,48,48,80,7,12,53,21,221,260,126,43.333333333333336,21,8,18,15,0,3,1,1,0,1,23,45,28,378,6,137,1,22.833333333333332
TX_maternal_00016566_TX_paternal_00022901,TX_maternal_00016566,TX_paternal_00022901,X,Y,26970952,330884388,26987760,330887880,PASS,PASS,64,18,20,9,162,106,20,74,102,74,277,8,2052,473,461,78.83333333333333,76.83333333333334,92,93,304,0,1,28,14,38,1,36,175,120,3074,82,820,13.666666666666668,136.66666666666666
TX_maternal_00016568_TX_paternal_00022904,TX_maternal_00016568,TX_paternal_00022904,X,Y,27110897,331004134,27115778,331016706,PASS,PASS,1,9,19,13,17,78,56,49,5,0,42,12,78,218,83,36.333333333333336,13.833333333333332,40,51,27,0,11,2,42,4,12,25,37,18,667,71,198,11.833333333333334,33
TX_maternal_00016569_TX_paternal_00022905,TX_maternal_00016569,TX_paternal_00022905,X,Y,27211453,331161426,27214260,331164235,PASS,PASS,10,15,43,53,23,57,25,88,18,8,45,33,516,264,154,44,25.666666666666668,32,48,29,12,11,2,21,14,40,30,45,19,357,100,203,16.666666666666668,33.833333333333336
TX_maternal_00016596_TX_paternal_00023708,TX_maternal_00016596,TX_paternal_00023708,X,Y,28692606,447515922,28693431,447516747,PASS,PASS,15,21,12,17,75,46,27,86,16,66,64,20,105,267,198,44.5,33,64,35,27,7,9,9,12,25,5,42,76,55,595,67,299,11.166666666666666,49.833333333333336
TX_maternal_00016621_TX_paternal_00023743,TX_maternal_00016621,TX_paternal_00023743,X,Y,29844809,448926839,29846175,448929170,PASS,PASS,2,22,12,11,23,14,40,37,16,7,21,21,230,141,85,23.5,14.166666666666666,158,168,218,5,24,4,13,4,48,262,259,296,31553,98,1361,16.333333333333332,226.83333333333334
TX_maternal_00016628_TX_paternal_00024022,TX_maternal_00016628,TX_paternal_00024022,X,Y,30415197,485019357,30417994,485021614,PASS,PASS,101,216,115,356,228,206,348,471,145,95,202,132,3728,1754,861,292.3333333333333,143.5,111,212,146,17,3,7,11,9,11,114,205,76,3366,58,864,9.666666666666666,144
TX_maternal_00016639_TX_paternal_00024008,TX_maternal_00016639,TX_paternal_00024008,X,Y,31119564,484205214,31121648,484207239,PASS,PASS,91,45,19,58,139,9,53,25,119,17,114,19,4015,403,305,67.16666666666667,50.833333333333336,11,6,1,0,9,3,8,3,11,0,14,3,63,34,35,5.666666666666667,5.833333333333334
TX_maternal_00016640_TX_paternal_00024006,TX_maternal_00016640,TX_paternal_00024006,X,Y,31215995,484103803,31218143,484108193,PASS,PASS,35,69,31,108,155,67,68,57,53,46,138,28,252,508,347,84.66666666666667,57.83333333333333,19,5,1,1,15,37,19,5,35,20,6,13,112,112,64,18.666666666666668,10.666666666666666
TX_maternal_00016648_TX_paternal_00022830,TX_maternal_00016648,TX_paternal_00022830,X,Y,31653784,326240320,31663225,326249749,PASS,PASS,5,3,6,5,15,7,22,5,45,6,34,12,68,99,66,16.5,11,24,11,13,7,4,4,3,3,35,18,57,34,319,56,157,9.333333333333332,26.166666666666668
TX_maternal_00016678_TX_paternal_00022793,TX_maternal_00016678,TX_paternal_00022793,X,Y,34882893,322584707,34892895,322591254,PASS,PASS,1,5,32,29,15,33,34,22,47,7,33,25,325,180,103,30,17.166666666666668,15,19,39,8,16,12,10,1,16,24,62,16,31,63,175,10.5,29.166666666666664
TX_maternal_00016700_TX_paternal_00024039,TX_maternal_00016700,TX_paternal_00024039,X,Y,35979006,486106630,35983262,486110632,PASS,PASS,14,16,19,26,29,17,16,16,19,12,17,12,39,123,90,20.5,15,25,34,50,6,7,13,2,1,4,44,83,35,330,33,271,5.5,45.166666666666664
TX_maternal_00016705_TX_paternal_00022744,TX_maternal_00016705,TX_paternal_00022744,X,Y,36527150,319406507,36529659,319410717,PASS,PASS,30,73,45,116,180,146,176,131,89,44,136,63,1581,838,391,139.66666666666666,65.16666666666667,65,70,86,2,3,1,1,1,2,109,125,75,770,10,530,1.6666666666666667,88.33333333333333
TX_maternal_00016706_TX_paternal_00022746,TX_maternal_00016706,TX_paternal_00022746,X,Y,36586229,319475899,36591196,319479512,PASS,PASS,28,35,78,46,27,60,19,50,72,16,60,78,2703,274,295,45.666666666666664,49.166666666666664,36,75,174,0,7,1,4,1,0,24,220,95,3930,13,624,2.166666666666667,104
TX_maternal_00016707_TX_paternal_00022748,TX_maternal_00016707,TX_paternal_00022748,X,Y,36940733,319953453,36944063,319956774,PASS,PASS,18,44,46,59,84,71,58,68,66,46,54,29,282,406,237,67.66666666666667,39.5,100,105,102,4,10,3,4,5,9,111,133,91,955,35,642,5.833333333333333,107
TX_maternal_00016718_TX_paternal_00022759,TX_maternal_00016718,TX_paternal_00022759,X,Y,37332217,320461192,37336537,320470469,PASS,PASS,175,148,255,441,447,250,216,241,350,394,342,264,19755,1945,1578,324.1666666666667,263,12,19,2,1,10,2,30,3,3,12,15,5,68,49,65,8.166666666666668,10.833333333333334
TX_maternal_00016720_TX_paternal_00022762,TX_maternal_00016720,TX_paternal_00022762,X,Y,37376027,320535595,37384571,320545314,PASS,PASS,0,18,60,48,30,42,56,39,27,41,35,47,1128,242,201,40.333333333333336,33.5,22,44,40,23,6,9,33,2,2,27,55,50,1044,75,238,12.5,39.666666666666664
TX_maternal_00016743_TX_paternal_00024058,TX_maternal_00016743,TX_paternal_00024058,X,Y,38111863,486585203,38116108,486589693,PASS,PASS,14,24,15,20,70,31,32,19,46,12,79,20,119,218,164,36.333333333333336,27.333333333333336,29,28,51,13,1,3,1,6,0,5,33,16,315,24,162,4,27
TX_maternal_00016748_TX_paternal_00024419,TX_maternal_00016748,TX_paternal_00024419,X,Y,38302049,501673181,38306427,501709365,PASS,PASS,47,67,36,91,122,83,115,56,101,32,62,44,182,568,288,94.66666666666667,48,0,4,79,1,3,1,5,2,1,79,63,26,351,13,251,2.1666666666666665,41.833333333333336
TX_maternal_00016753_TX_paternal_00024434,TX_maternal_00016753,TX_paternal_00024434,X,Y,38646524,502231351,38657068,502241952,PASS,PASS,104,123,120,274,407,249,203,113,436,140,192,136,3960,1682,815,280.3333333333333,135.83333333333334,118,168,226,33,3,25,14,12,21,149,238,419,81087,108,1318,18,219.66666666666666
TX_maternal_00016767_TX_paternal_00024096,TX_maternal_00016767,TX_paternal_00024096,X,Y,39157575,488097274,39162874,488102533,PASS,PASS,66,45,23,23,170,251,35,18,84,12,183,70,340,581,399,96.83333333333334,66.5,45,73,44,3,20,42,3,4,24,3,97,106,4681,96,368,16,61.333333333333336
