pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,Length.mat,10.TM4Aligned.sortedByCoord.out.mat,11.TM5Aligned.sortedByCoord.out.mat,12.TM6Aligned.sortedByCoord.out.mat,1.TF1Aligned.sortedByCoord.out.mat,2.TF2Aligned.sortedByCoord.out.mat,3.TF3Aligned.sortedByCoord.out.mat,4.TF4Aligned.sortedByCoord.out.mat,5.TF5Aligned.sortedByCoord.out.mat,6.TF6Aligned.sortedByCoord.out.mat,7.TM1Aligned.sortedByCoord.out.mat,8.TM2Aligned.sortedByCoord.out.mat,9.TM3Aligned.sortedByCoord.out.mat,Length.pat,10.TM4Aligned.sortedByCoord.out.pat,11.TM5Aligned.sortedByCoord.out.pat,12.TM6Aligned.sortedByCoord.out.pat,1.TF1Aligned.sortedByCoord.out.pat,2.TF2Aligned.sortedByCoord.out.pat,3.TF3Aligned.sortedByCoord.out.pat,4.TF4Aligned.sortedByCoord.out.pat,5.TF5Aligned.sortedByCoord.out.pat,6.TF6Aligned.sortedByCoord.out.pat,7.TM1Aligned.sortedByCoord.out.pat,8.TM2Aligned.sortedByCoord.out.pat,9.TM3Aligned.sortedByCoord.out.pat
TX_maternal_00016281_TX_paternal_00022026,TX_maternal_00016281,TX_paternal_00022026,X,Y,2256950,198114654,2259826,198117543,1480,1880,1840,1781,2866,3335,3640,1865,1999,4271,676,1954,1597,1335,405,482,658,355,3,488,108,229,8,211,612,567
TX_maternal_00016320_TX_paternal_00022031,TX_maternal_00016320,TX_paternal_00022031,X,Y,5723350,198806518,5725087,198813434,522,84,50,93,58,135,111,92,49,128,39,133,74,531,52,36,71,0,0,0,1,0,0,22,81,43
TX_maternal_00016326_TX_paternal_00022033,TX_maternal_00016326,TX_paternal_00022033,X,Y,6184009,199164055,6186212,199174036,1405,97,138,177,116,193,175,110,80,425,61,178,147,1416,240,186,546,52,52,82,18,36,141,89,403,429
TX_maternal_00016328_TX_paternal_00022040,TX_maternal_00016328,TX_paternal_00022040,X,Y,6400444,199510382,6404393,199514294,2115,327,329,314,573,797,596,508,373,912,260,794,254,2115,346,381,547,72,1,89,40,49,2,376,857,429
TX_maternal_00016329_TX_paternal_00022041,TX_maternal_00016329,TX_paternal_00022041,X,Y,6405628,199515020,6408115,199517231,1734,2,3,1,1,5,0,0,0,4,4,5,0,1449,2,0,0,0,2,0,0,1,0,2,9,2
TX_maternal_00016331_TX_paternal_00022045,TX_maternal_00016331,TX_paternal_00022045,X,Y,6444036,199967430,6579634,199969299,1455,13,0,0,0,26,0,0,0,47,18,29,0,1011,2,6,8,0,0,0,1,0,0,4,3,6
TX_maternal_00016334_TX_paternal_00022047,TX_maternal_00016334,TX_paternal_00022047,X,Y,6958141,200217415,6958600,200218614,431,0,0,0,0,0,0,0,0,0,0,1,0,518,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016359_TX_paternal_00023287,TX_maternal_00016359,TX_paternal_00023287,X,Y,10439514,381488237,10445537,381491274,1536,0,0,0,1,0,0,0,2,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016361_TX_paternal_00023289,TX_maternal_00016361,TX_paternal_00023289,X,Y,10529359,381536252,10530149,381537042,706,8,12,16,4,16,1,12,4,10,25,20,2,706,0,0,34,0,0,0,0,0,0,0,0,0
TX_maternal_00016430_TX_paternal_00023811,TX_maternal_00016430,TX_paternal_00023811,X,Y,18043670,457720487,18047868,457721171,1716,19,15,49,53,21,89,56,37,35,8,34,48,430,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00017170_TX_paternal_00023036,TX_maternal_00017170,TX_paternal_00023036,X,Y,60701789,354795632,60703710,354797632,735,144,111,257,193,335,284,180,167,504,152,359,315,733,119,115,138,1,0,0,0,0,0,99,219,239
TX_maternal_00016446_TX_paternal_00024438,TX_maternal_00016446,TX_paternal_00024438,X,Y,19352404,502600022,19356873,502603539,1467,410,382,13,161,765,103,186,32,208,105,651,45,1484,289,429,292,194,4,164,22,36,4,323,537,327
TX_maternal_00016449_TX_paternal_00024443,TX_maternal_00016449,TX_paternal_00024443,X,Y,19399156,502704941,19401126,502706814,1467,0,0,0,1,0,1,0,0,0,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016451_TX_paternal_00024447,TX_maternal_00016451,TX_paternal_00024447,X,Y,19493184,502898291,19495001,502899893,1200,7,4,4,4,5,11,16,1,10,7,8,6,1209,9,0,9,1,0,3,0,1,0,22,17,4
TX_maternal_00016456_TX_paternal_00022071,TX_maternal_00016456,TX_paternal_00022071,X,Y,19644763,202648680,19651505,202653431,1964,232,209,262,385,591,445,446,264,619,269,467,279,1949,201,165,275,4,1,3,0,6,0,136,378,246
TX_maternal_00016457_TX_paternal_00022070,TX_maternal_00016457,TX_paternal_00022070,X,Y,19691162,202548808,19693285,202551312,1344,0,5,3,1,22,0,22,4,5,294,4,0,1374,0,2,3,0,2,0,6,0,1,163,4,0
TX_maternal_00016459_TX_paternal_00022062,TX_maternal_00016459,TX_paternal_00022062,X,Y,19751812,202303785,19753259,202305473,737,0,0,0,1,0,0,0,0,0,0,0,0,645,0,1,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016461_TX_paternal_00022061,TX_maternal_00016461,TX_paternal_00022061,X,Y,20025366,201973799,20027067,201975337,852,1512,1651,3371,2695,2752,4183,4309,5724,1223,296,2327,1894,854,1553,924,1417,854,11,1247,637,1880,4,71,1295,1611
