pgID,pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,id_tx_mat_fix,id_tx_pat_fix,length.mat,Rh_02.mat,length.pat,Rh_02.pat
30,NChap2_final_00022948-RA_NChap2_final_00022948-RA,NChap2_final_00022948-RA,NChap2_final_00022948-RA,X,Y,2257034,198114734,2259746,198117452,X_TX_00022948,TX_00022948,2712,2012,2718,289
98,NChap2_final_00022545-RA_NChap2_final_00022545-RA,NChap2_final_00022545-RA,NChap2_final_00022545-RA,X,Y,4310605,224096183,4311511,224097083,X_TX_00022545,TX_00022545,906,135,900,79
99,NChap2_final_00022544-RA_NChap2_final_00022544-RA,NChap2_final_00022544-RA,NChap2_final_00022544-RA,X,Y,4312591,224066001,4318707,224072097,X_TX_00022544,TX_00022544,6116,1277,6096,1468
102,NChap2_final_00022543-RA_NChap2_final_00022543-RA,NChap2_final_00022543-RA,NChap2_final_00022543-RA,X,Y,4320850,224058758,4322289,224060117,X_TX_00022543,TX_00022543,1439,328,1359,60
126,NChap2_final_00022952-RA_NChap2_final_00022952-RA,NChap2_final_00022952-RA,NChap2_final_00022952-RA,X,Y,5697799,198804828,5698772,198806301,X_TX_00022952,TX_00022952,973,0,1473,0
129,NChap2_final_00022955-RA_NChap2_final_00022955-RA,NChap2_final_00022955-RA,NChap2_final_00022955-RA,X,Y,6184009,199171831,6186257,199174081,X_TX_00022955,TX_00022955,2248,422,2250,1057
134,NChap2_final_00022959-RA_NChap2_final_00022959-RA,NChap2_final_00022959-RA,NChap2_final_00022959-RA,X,Y,6578184,199978994,6579320,199979192,X_TX_00022959,TX_00022959,1136,26,198,0
135,NChap2_final_00019583-RA_NChap2_final_00019583-RA,NChap2_final_00019583-RA,NChap2_final_00019583-RA,X,Y,7756307,458552008,7765230,458560448,X_TX_00019583,TX_00019583,8923,792,8440,743
180,NChap2_final_00022168-RA_NChap2_final_00022168-RA,NChap2_final_00022168-RA,NChap2_final_00022168-RA,X,Y,10528598,381535491,10530149,381537042,X_TX_00022168,TX_00022168,1551,39,1551,0
183,NChap2_final_00022487-RA_NChap2_final_00022487-RA,NChap2_final_00022487-RA,NChap2_final_00022487-RA,X,Y,10714834,140102479,10716326,140103969,X_TX_00022487,TX_00022487,1492,1430,1490,2831
