pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,length.mat,Rh_02.mat,length.pat,Rh_02.pat
TX_maternal_00016281_TX_paternal_00022026,TX_maternal_00016281,TX_paternal_00022026,X,Y,2256950,198114654,2259826,198117543,1480,1993,1335,279
TX_maternal_00016320_TX_paternal_00022031,TX_maternal_00016320,TX_paternal_00022031,X,Y,5723350,198806518,5725087,198813434,522,611,531,599
TX_maternal_00016326_TX_paternal_00022033,TX_maternal_00016326,TX_paternal_00022033,X,Y,6184009,199164055,6186212,199174036,1405,415,1416,1034
TX_maternal_00016328_TX_paternal_00022040,TX_maternal_00016328,TX_paternal_00022040,X,Y,6400444,199510382,6404393,199514294,2115,2097,2115,2616
TX_maternal_00016329_TX_paternal_00022041,TX_maternal_00016329,TX_paternal_00022041,X,Y,6405628,199515020,6408115,199517231,1734,1,1449,5
TX_maternal_00016331_TX_paternal_00022045,TX_maternal_00016331,TX_paternal_00022045,X,Y,6444036,199967430,6579634,199969299,1455,54,1011,2
TX_maternal_00016334_TX_paternal_00022047,TX_maternal_00016334,TX_paternal_00022047,X,Y,6958141,200217415,6958600,200218614,431,0,518,0
TX_maternal_00016359_TX_paternal_00023287,TX_maternal_00016359,TX_paternal_00023287,X,Y,10439514,381488237,10445537,381491274,1536,0,1465,0
TX_maternal_00016361_TX_paternal_00023289,TX_maternal_00016361,TX_paternal_00023289,X,Y,10529359,381536252,10530149,381537042,706,35,706,0
TX_maternal_00016430_TX_paternal_00023811,TX_maternal_00016430,TX_paternal_00023811,X,Y,18043670,457720487,18047868,457721171,1716,12,430,2
TX_maternal_00017170_TX_paternal_00023036,TX_maternal_00017170,TX_paternal_00023036,X,Y,60701789,354795632,60703710,354797632,735,4618,733,2199
TX_maternal_00016446_TX_paternal_00024438,TX_maternal_00016446,TX_paternal_00024438,X,Y,19352404,502600022,19356873,502603539,1467,1223,1484,689
TX_maternal_00016449_TX_paternal_00024443,TX_maternal_00016449,TX_paternal_00024443,X,Y,19399156,502704941,19401126,502706814,1467,0,1509,0
TX_maternal_00016451_TX_paternal_00024447,TX_maternal_00016451,TX_paternal_00024447,X,Y,19493184,502898291,19495001,502899893,1200,55,1209,48
TX_maternal_00016456_TX_paternal_00022071,TX_maternal_00016456,TX_paternal_00022071,X,Y,19644763,202648680,19651505,202653431,1964,1596,1949,875
TX_maternal_00016457_TX_paternal_00022070,TX_maternal_00016457,TX_paternal_00022070,X,Y,19691162,202548808,19693285,202551312,1344,1537,1374,475
TX_maternal_00016459_TX_paternal_00022062,TX_maternal_00016459,TX_paternal_00022062,X,Y,19751812,202303785,19753259,202305473,737,0,645,0
TX_maternal_00016461_TX_paternal_00022061,TX_maternal_00016461,TX_paternal_00022061,X,Y,20025366,201973799,20027067,201975337,852,248,854,146
TX_maternal_00016464_TX_paternal_00022059,TX_maternal_00016464,TX_paternal_00022059,X,Y,20591121,201617255,20596026,201620595,1998,972,1635,1216
TX_maternal_00016476_TX_paternal_00022054,TX_maternal_00016476,TX_paternal_00022054,X,Y,21299526,200911158,21299948,200911466,195,0,251,0
TX_maternal_00016477_TX_paternal_00022053,TX_maternal_00016477,TX_paternal_00022053,X,Y,21301902,200895173,21307203,200900476,2127,434,1806,295
TX_maternal_00016478_TX_paternal_00022051,TX_maternal_00016478,TX_paternal_00022051,X,Y,21433679,200697521,21434768,200699037,453,0,1188,0
TX_maternal_00016480_TX_paternal_00022050,TX_maternal_00016480,TX_paternal_00022050,X,Y,21571894,200538910,21580920,200543275,3419,1288,1883,306
TX_maternal_00016533_TX_paternal_00022849,TX_maternal_00016533,TX_paternal_00022849,X,Y,24965856,328756509,24967966,328757957,1184,71,1000,45
TX_maternal_00016534_TX_paternal_00022854,TX_maternal_00016534,TX_paternal_00022854,X,Y,25066150,329008462,25071058,329009491,1128,0,714,0
TX_maternal_00016535_TX_paternal_00022851,TX_maternal_00016535,TX_paternal_00022851,X,Y,25183028,328884837,25184822,328886633,766,0,767,3
TX_maternal_00016544_TX_paternal_00022855,TX_maternal_00016544,TX_paternal_00022855,X,Y,26052366,329197320,26055012,329200062,1128,968,1225,1264
TX_maternal_00016547_TX_paternal_00022862,TX_maternal_00016547,TX_paternal_00022862,X,Y,26234042,329534578,26238353,329545522,2031,4037,2040,1019
TX_maternal_00016548_TX_paternal_00022863,TX_maternal_00016548,TX_paternal_00022863,X,Y,26392517,329721796,26394601,329723826,664,1768,532,5108
TX_maternal_00016552_TX_paternal_00022871,TX_maternal_00016552,TX_paternal_00022871,X,Y,26480452,329970914,26484078,329979697,1921,559,1812,999
TX_maternal_00016554_TX_paternal_00022872,TX_maternal_00016554,TX_paternal_00022872,X,Y,26497938,329997356,26502126,329999951,943,0,639,0
TX_maternal_00016557_TX_paternal_00022878,TX_maternal_00016557,TX_paternal_00022878,X,Y,26823067,330313472,26826135,330328430,1059,0,900,0
TX_maternal_00016558_TX_paternal_00022880,TX_maternal_00016558,TX_paternal_00022880,X,Y,26858283,330467744,26861402,330470798,1651,9,1651,24
TX_maternal_00016559_TX_paternal_00022881,TX_maternal_00016559,TX_paternal_00022881,X,Y,26861585,330470835,26867685,330496645,2047,96,1806,5
TX_maternal_00016563_TX_paternal_00022888,TX_maternal_00016563,TX_paternal_00022888,X,Y,26959998,330783344,26960798,330783950,306,0,344,1
TX_maternal_00016564_TX_paternal_00022889,TX_maternal_00016564,TX_paternal_00022889,X,Y,26964264,330786714,26966706,330788387,777,88,802,461
TX_maternal_00016565_TX_paternal_00022897,TX_maternal_00016565,TX_paternal_00022897,X,Y,26966880,330862023,26969728,330864790,558,78,648,107
TX_maternal_00016566_TX_paternal_00022901,TX_maternal_00016566,TX_paternal_00022901,X,Y,26970952,330884388,26987760,330887880,7235,36,2211,21
TX_maternal_00016567_TX_paternal_00022902,TX_maternal_00016567,TX_paternal_00022902,X,Y,27067263,330954759,27074234,330959127,1202,410,1073,891
TX_maternal_00016568_TX_paternal_00022904,TX_maternal_00016568,TX_paternal_00022904,X,Y,27110897,331004134,27115778,331016706,1167,14,1124,264
TX_maternal_00016569_TX_paternal_00022905,TX_maternal_00016569,TX_paternal_00022905,X,Y,27211453,331161426,27214260,331164235,1335,73,1338,260
TX_maternal_00016593_TX_paternal_00023705,TX_maternal_00016593,TX_paternal_00023705,X,Y,28581526,447440246,28582967,447441694,972,19,978,2
TX_maternal_00016595_TX_paternal_00023707,TX_maternal_00016595,TX_paternal_00023707,X,Y,28685923,447514724,28686929,447515477,533,0,672,0
TX_maternal_00016596_TX_paternal_00023708,TX_maternal_00016596,TX_paternal_00023708,X,Y,28692606,447515922,28693431,447516747,730,182,730,164
TX_maternal_00016597_TX_paternal_00023710,TX_maternal_00016597,TX_paternal_00023710,X,Y,28712492,447553510,28718703,447563595,3655,0,4531,0
TX_maternal_00016599_TX_paternal_00023711,TX_maternal_00016599,TX_paternal_00023711,X,Y,28733890,447653044,28743585,447659516,1362,24,1626,1103
TX_maternal_00016600_TX_paternal_00023712,TX_maternal_00016600,TX_paternal_00023712,X,Y,28744900,447660869,28745725,447661694,578,0,608,0
TX_maternal_00016601_TX_paternal_00023713,TX_maternal_00016601,TX_paternal_00023713,X,Y,28759306,447682008,28763398,447685590,1922,488,1653,1551
TX_maternal_00016603_TX_paternal_00023715,TX_maternal_00016603,TX_paternal_00023715,X,Y,28810444,447845780,28924172,447848052,1353,13773,2026,2286
TX_maternal_00016604_TX_paternal_00023717,TX_maternal_00016604,TX_paternal_00023717,X,Y,28962762,447894047,28963783,447894754,685,614,604,4861
TX_maternal_00016605_TX_paternal_00023719,TX_maternal_00016605,TX_paternal_00023719,X,Y,29035922,447942034,29037495,447943604,1080,0,1023,0
TX_maternal_00016607_TX_paternal_00023720,TX_maternal_00016607,TX_paternal_00023720,X,Y,29162133,448060612,29176262,448074757,4539,1933,4488,3607
TX_maternal_00016608_TX_paternal_00023721,TX_maternal_00016608,TX_paternal_00023721,X,Y,29180286,448092694,29181434,448093849,663,0,579,0
TX_maternal_00016609_TX_paternal_00023729,TX_maternal_00016609,TX_paternal_00023729,X,Y,29190916,448179763,29195356,448184176,2951,853,2940,1033
TX_maternal_00016610_TX_paternal_00023732,TX_maternal_00016610,TX_paternal_00023732,X,Y,29258039,448264187,29261331,448267176,1230,1,1210,49
TX_maternal_00016612_TX_paternal_00023737,TX_maternal_00016612,TX_paternal_00023737,X,Y,29293205,448384622,29294577,448386708,242,0,542,312
TX_maternal_00016618_TX_paternal_00023741,TX_maternal_00016618,TX_paternal_00023741,X,Y,29773761,448856378,29775862,448858443,555,0,519,0
TX_maternal_00016619_TX_paternal_00023742,TX_maternal_00016619,TX_paternal_00023742,X,Y,29796471,448884118,29797490,448884878,734,0,483,0
TX_maternal_00016621_TX_paternal_00023743,TX_maternal_00016621,TX_paternal_00023743,X,Y,29844809,448926839,29846175,448929170,273,56,528,908
TX_maternal_00016622_TX_paternal_00023744,TX_maternal_00016622,TX_paternal_00023744,X,Y,29861635,448965134,29864828,448968299,1202,563,1196,1947
TX_maternal_00016624_TX_paternal_00023748,TX_maternal_00016624,TX_paternal_00023748,X,Y,29979580,449077892,29985703,449086460,1078,18,441,27
TX_maternal_00016625_TX_paternal_00023750,TX_maternal_00016625,TX_paternal_00023750,X,Y,30024019,449121255,30031615,449128407,3064,751,2655,904
TX_maternal_00016626_TX_paternal_00024026,TX_maternal_00016626,TX_paternal_00024026,X,Y,30144239,485395763,30145870,485397897,559,5,540,89
TX_maternal_00016628_TX_paternal_00024022,TX_maternal_00016628,TX_paternal_00024022,X,Y,30415197,485019357,30417994,485021614,1728,812,1695,1008
TX_maternal_00016632_TX_paternal_00024019,TX_maternal_00016632,TX_paternal_00024019,X,Y,30710555,484652472,30713297,484655205,1245,0,1404,0
TX_maternal_00016634_TX_paternal_00024016,TX_maternal_00016634,TX_paternal_00024016,X,Y,30802283,484517136,30804189,484519237,1466,4,1473,1
TX_maternal_00016635_TX_paternal_00024015,TX_maternal_00016635,TX_paternal_00024015,X,Y,30830745,484463299,30832950,484465477,1529,0,1507,209
TX_maternal_00016636_TX_paternal_00024014,TX_maternal_00016636,TX_paternal_00024014,X,Y,30834717,484459322,30836902,484461531,552,533,612,619
TX_maternal_00016637_TX_paternal_00024011,TX_maternal_00016637,TX_paternal_00024011,X,Y,30850918,484427822,30853409,484430313,1350,875,1323,2852
TX_maternal_00016639_TX_paternal_00024008,TX_maternal_00016639,TX_paternal_00024008,X,Y,31119564,484205214,31121648,484207239,2009,138,1926,6
TX_maternal_00016640_TX_paternal_00024006,TX_maternal_00016640,TX_paternal_00024006,X,Y,31215995,484103803,31218143,484108193,1230,150,1417,101
TX_maternal_00016643_TX_paternal_00024002,TX_maternal_00016643,TX_paternal_00024002,X,Y,31498887,483694864,31501438,483696284,825,0,687,0
TX_maternal_00016645_TX_paternal_00023999,TX_maternal_00016645,TX_paternal_00023999,X,Y,31598044,483603125,31599495,483605278,615,3,615,5
TX_maternal_00016648_TX_paternal_00022830,TX_maternal_00016648,TX_paternal_00022830,X,Y,31653784,326240320,31663225,326249749,3623,14,3615,40
TX_maternal_00016649_TX_paternal_00022824,TX_maternal_00016649,TX_paternal_00022824,X,Y,31737518,326079065,31738078,326088928,231,0,2221,0
TX_maternal_00016650_TX_paternal_00022812,TX_maternal_00016650,TX_paternal_00022812,X,Y,32137171,325172962,32138768,325175348,1259,48,1134,381
TX_maternal_00016651_TX_paternal_00022813,TX_maternal_00016651,TX_paternal_00022813,X,Y,32142657,325176559,32148469,325180445,2311,191,2060,12
TX_maternal_00016657_TX_paternal_00022808,TX_maternal_00016657,TX_paternal_00022808,X,Y,32651006,324386160,32654036,324389182,1905,0,1905,0
TX_maternal_00016662_TX_paternal_00022801,TX_maternal_00016662,TX_paternal_00022801,X,Y,33378196,323431077,33381464,323438214,1050,0,1022,0
TX_maternal_00016673_TX_paternal_00022798,TX_maternal_00016673,TX_paternal_00022798,X,Y,34450167,323058199,34450846,323058878,528,0,528,0
