pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,flag_tx_mat,flag_tx_pat
TX_maternal_00016281_TX_paternal_00022026,TX_maternal_00016281,TX_paternal_00022026,X,Y,2256950,198114654,2259826,198117543,PASS,PASS
TX_maternal_00016320_TX_paternal_00022031,TX_maternal_00016320,TX_paternal_00022031,X,Y,5723350,198806518,5725087,198813434,PASS,PASS
TX_maternal_00016326_TX_paternal_00022033,TX_maternal_00016326,TX_paternal_00022033,X,Y,6184009,199164055,6186212,199174036,PASS,PASS
TX_maternal_00016328_TX_paternal_00022040,TX_maternal_00016328,TX_paternal_00022040,X,Y,6400444,199510382,6404393,199514294,PASS,PASS
TX_maternal_00016329_TX_paternal_00022041,TX_maternal_00016329,TX_paternal_00022041,X,Y,6405628,199515020,6408115,199517231,PASS,PASS
TX_maternal_00016331_TX_paternal_00022045,TX_maternal_00016331,TX_paternal_00022045,X,Y,6444036,199967430,6579634,199969299,PASS,PASS
TX_maternal_00016334_TX_paternal_00022047,TX_maternal_00016334,TX_paternal_00022047,X,Y,6958141,200217415,6958600,200218614,PASS,PASS
TX_maternal_00016359_TX_paternal_00023287,TX_maternal_00016359,TX_paternal_00023287,X,Y,10439514,381488237,10445537,381491274,PASS,PASS
TX_maternal_00016361_TX_paternal_00023289,TX_maternal_00016361,TX_paternal_00023289,X,Y,10529359,381536252,10530149,381537042,PASS,PASS
TX_maternal_00016430_TX_paternal_00023811,TX_maternal_00016430,TX_paternal_00023811,X,Y,18043670,457720487,18047868,457721171,PASS,PASS
TX_maternal_00017170_TX_paternal_00023036,TX_maternal_00017170,TX_paternal_00023036,X,Y,60701789,354795632,60703710,354797632,PASS,PASS
TX_maternal_00016446_TX_paternal_00024438,TX_maternal_00016446,TX_paternal_00024438,X,Y,19352404,502600022,19356873,502603539,PASS,PASS
TX_maternal_00016449_TX_paternal_00024443,TX_maternal_00016449,TX_paternal_00024443,X,Y,19399156,502704941,19401126,502706814,PASS,PASS
TX_maternal_00016451_TX_paternal_00024447,TX_maternal_00016451,TX_paternal_00024447,X,Y,19493184,502898291,19495001,502899893,PASS,PASS
TX_maternal_00016456_TX_paternal_00022071,TX_maternal_00016456,TX_paternal_00022071,X,Y,19644763,202648680,19651505,202653431,PASS,PASS
TX_maternal_00016457_TX_paternal_00022070,TX_maternal_00016457,TX_paternal_00022070,X,Y,19691162,202548808,19693285,202551312,PASS,PASS
TX_maternal_00016459_TX_paternal_00022062,TX_maternal_00016459,TX_paternal_00022062,X,Y,19751812,202303785,19753259,202305473,PASS,PASS
TX_maternal_00016461_TX_paternal_00022061,TX_maternal_00016461,TX_paternal_00022061,X,Y,20025366,201973799,20027067,201975337,PASS,PASS
TX_maternal_00016464_TX_paternal_00022059,TX_maternal_00016464,TX_paternal_00022059,X,Y,20591121,201617255,20596026,201620595,PASS,PASS
TX_maternal_00016476_TX_paternal_00022054,TX_maternal_00016476,TX_paternal_00022054,X,Y,21299526,200911158,21299948,200911466,PASS,PASS
TX_maternal_00016477_TX_paternal_00022053,TX_maternal_00016477,TX_paternal_00022053,X,Y,21301902,200895173,21307203,200900476,PASS,PASS
TX_maternal_00016478_TX_paternal_00022051,TX_maternal_00016478,TX_paternal_00022051,X,Y,21433679,200697521,21434768,200699037,PASS,PASS
TX_maternal_00016480_TX_paternal_00022050,TX_maternal_00016480,TX_paternal_00022050,X,Y,21571894,200538910,21580920,200543275,PASS,PASS
TX_maternal_00016533_TX_paternal_00022849,TX_maternal_00016533,TX_paternal_00022849,X,Y,24965856,328756509,24967966,328757957,PASS,PASS
TX_maternal_00016534_TX_paternal_00022854,TX_maternal_00016534,TX_paternal_00022854,X,Y,25066150,329008462,25071058,329009491,PASS,PASS
TX_maternal_00016535_TX_paternal_00022851,TX_maternal_00016535,TX_paternal_00022851,X,Y,25183028,328884837,25184822,328886633,PASS,PASS
TX_maternal_00016544_TX_paternal_00022855,TX_maternal_00016544,TX_paternal_00022855,X,Y,26052366,329197320,26055012,329200062,PASS,PASS
TX_maternal_00016547_TX_paternal_00022862,TX_maternal_00016547,TX_paternal_00022862,X,Y,26234042,329534578,26238353,329545522,PASS,PASS
TX_maternal_00016548_TX_paternal_00022863,TX_maternal_00016548,TX_paternal_00022863,X,Y,26392517,329721796,26394601,329723826,PASS,PASS
TX_maternal_00016552_TX_paternal_00022871,TX_maternal_00016552,TX_paternal_00022871,X,Y,26480452,329970914,26484078,329979697,PASS,PASS
TX_maternal_00016554_TX_paternal_00022872,TX_maternal_00016554,TX_paternal_00022872,X,Y,26497938,329997356,26502126,329999951,PASS,PASS
TX_maternal_00016557_TX_paternal_00022878,TX_maternal_00016557,TX_paternal_00022878,X,Y,26823067,330313472,26826135,330328430,PASS,PASS
TX_maternal_00016558_TX_paternal_00022880,TX_maternal_00016558,TX_paternal_00022880,X,Y,26858283,330467744,26861402,330470798,PASS,PASS
